codmun,pharmacy,hospital,police,school,bank,embassy,tower,commercial,industrial,government,supermarket,park,primary,secondary,unpaved,paved
1416,10,0,2,9,3,0,318,0,1,0,0,0,62,103,254,12
1417,23,2,3,12,24,0,304,0,0,0,0,0,103,324,431,74
1418,31,3,2,8,16,0,514,0,0,0,0,0,233,289,855,126
1419,2,0,0,12,1,0,1079,0,0,0,0,0,235,227,487,41
1420,9,3,3,9,11,0,177,0,0,0,0,0,181,50,176,6
1421,33,4,1,8,29,0,240,0,0,0,0,0,85,366,461,94
1422,2,0,0,3,3,0,82,0,0,0,0,3,66,42,192,0
1423,1,3,1,1,5,0,95,0,0,0,0,0,211,89,26,27
1412,15,2,1,14,11,0,655,0,1,0,0,0,227,110,439,78
1413,9,2,3,6,4,0,212,0,0,0,0,0,59,70,186,26
1424,2,1,2,7,4,0,127,0,0,0,0,0,75,76,134,12
1464,6,0,1,5,11,0,65,0,26,0,0,0,60,114,44,20
1425,19,10,6,12,13,0,734,0,0,0,0,0,305,232,136,286
1426,2,1,2,2,3,0,486,0,3,0,0,0,162,94,328,20
1427,9,0,0,0,1,0,222,0,0,0,0,0,81,97,152,10
1429,1,0,1,1,4,0,121,0,0,0,0,0,86,53,98,17
1428,22,1,0,8,20,0,805,0,0,0,0,0,143,117,99,41
1430,4,0,0,3,2,0,193,0,0,0,0,0,5,67,428,25
1432,25,0,5,8,11,0,707,0,0,0,0,0,116,185,302,121
1433,4,1,0,3,2,0,324,0,0,0,0,0,114,68,226,6
1462,14,0,2,8,16,0,266,0,0,0,0,0,167,323,22,51
1401,2,1,2,1,5,0,136,0,0,0,0,0,52,39,39,35
1402,14,4,1,13,12,0,338,0,0,0,0,0,133,135,333,7
1403,8,1,1,10,12,0,482,0,0,0,0,0,145,103,161,25
1404,2,0,0,4,1,0,183,0,0,0,0,0,66,110,74,7
1405,28,1,2,5,12,0,158,0,0,0,0,0,22,158,313,45
1406,22,1,5,13,7,0,340,0,0,0,0,0,206,113,184,38
1407,7,0,1,14,6,0,787,0,0,0,0,0,186,58,60,204
1436,5,0,0,3,2,0,264,0,0,0,0,0,159,14,25,36
