codmun,pharmacy,hospital,police,school,bank,embassy,tower,commercial,industrial,government,supermarket,park,primary,secondary,unpaved,paved
20085,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0
20086,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
20087,0,0,0,0,0,0,11,0,0,0,0,0,5,4,15,0
20088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20089,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
20090,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
20091,0,0,0,0,0,0,9,0,0,0,0,0,0,1,3,0
20092,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,0
20093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20094,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
20095,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
20096,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
20097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20101,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
20102,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0
20103,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,0
20104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
20105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20107,1,0,0,0,0,0,4,0,0,0,0,0,8,0,0,0
20108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20111,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
20112,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
20113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20115,0,1,0,0,1,0,13,0,0,0,0,0,3,2,2,0
20116,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
20117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
